"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"RecordedDate","POSIXct, POSIXt",358,0,319,NA,NA,2,"1588752067",NA,0.996582503667176,NA,NA,NA,NA,NA,NA,NA,NA,NA
"seconds","numeric",358,0,253,339.170391061453,293,293,NA,173.198082921197,NA,109,1351,1242,1.72522668887062,6.69099568737819,4.16707328645535,8.10273958914449,NA,NA
"n_turnsOK","numeric",358,0,1,1,1,1,NA,0,NA,1,1,0,NA,NA,NA,NA,NA,NA
"whichva","numeric",358,0,29,396.854748603352,4,4,NA,1842.93145520685,NA,1,12345,12344,6.09504980441139,23.6386048388626,36.4912653893407,70.9560884588385,NA,NA
"VA_Google","numeric",358,0,2,0.56145251396648,1,1,NA,0.496903703403232,NA,0,1,1,-0.246650843935475,-0.95659297627769,-1.94457174010867,-3.78115702301769,NA,NA
"VA_Amazon","numeric",358,0,2,0.600558659217877,1,1,NA,0.490469072536979,NA,0,1,1,-0.408905575185965,-1.58587011073034,-1.83790666236003,-3.57375022000747,NA,NA
"VA_Apple","numeric",358,0,2,0.343575418994413,0,0,NA,0.475566074204939,NA,0,1,1,0.656008278538216,2.54421554622308,-1.57402647477147,-3.06064370716676,NA,NA
"VA_Microsoft","numeric",358,0,2,0.175977653631285,0,0,NA,0.381334116206135,NA,0,1,1,1.6946674440273,6.57247689980363,0.874363487671251,1.70017159762573,NA,NA
"VA_Samsung","numeric",358,0,2,0.128491620111732,0,0,NA,0.335104755872805,NA,0,1,1,2.21107364482867,8.57526974133987,2.89696212153554,5.63304939865486,NA,NA
"VA_Other","numeric",358,0,2,0.00558659217877095,0,0,NA,0.0746387530789693,NA,0,1,1,13.2111629534053,51.2372286591228,173.018140863409,336.428193900723,NA,NA
"VA_didnotuseVA","numeric",358,0,1,0,0,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA
"QID1_6_TEXT","character",2,0.994413407821229,3,NA,NA,356,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vamost","factor",357,0.00279329608938547,6,NA,NA,146,"Google",NA,0.661299814043264,NA,NA,NA,NA,NA,NA,NA,NA,NA
"devicemost","factor",357,0.00279329608938547,4,NA,NA,207,"Smartphone",NA,0.543746910528917,NA,NA,NA,NA,NA,NA,NA,NA,NA
"partweek","factor",358,0,4,NA,NA,153,"All days",NA,0.649652008364283,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ndays","numeric",358,0,7,4.15083798882682,4,4,NA,2.02909836926805,NA,1,7,6,0.100186626308717,0.388556639477576,-1.27304408961072,-2.4753931679444,NA,NA
"times_per_day","numeric",358,0,32,9.93016759776536,4,4,NA,60.0512212315487,NA,0,1130,1130,18.1347436281187,70.3324914866019,335.080595992729,651.553410286658,NA,NA
"whenuse","numeric",358,0,31,1080.86592178771,14,14,NA,3243.0897886014,NA,1,12345,12344,3.13268431847113,12.1495786032206,7.98489115176275,15.5263632777222,NA,NA
"when_morning","numeric",358,0,2,0.594972067039106,1,1,NA,0.491584500718255,NA,0,1,1,-0.385312318827256,-1.4943677142246,-1.85669733665519,-3.61028808004774,NA,NA
"when_lunch","numeric",358,0,2,0.304469273743017,0,0,NA,0.460826346927387,NA,0,1,1,0.846238728944458,3.28199170716886,-1.28745286497304,-2.50341056685572,NA,NA
"when_afternoon","numeric",358,0,2,0.483240223463687,0,0,NA,0.500418428113382,NA,0,1,1,0.0667959474676588,0.259056620978324,-2.00110459332245,-3.89108333252406,NA,NA
"when_evening","numeric",358,0,2,0.488826815642458,0,0,NA,0.500574760022261,NA,0,1,1,0.0445167245143343,0.172650477565126,-2.00359149982528,-3.89591904199921,NA,NA
"when_night","numeric",358,0,2,0.307262569832402,0,0,NA,0.462004878648243,NA,0,1,1,0.832021765744024,3.22685365483326,-1.31137946674994,-2.54993507221577,NA,NA
