RecordedDate,seconds,n_turnsOK,whichva,VA_Google,VA_Amazon,VA_Apple,VA_Microsoft,VA_Samsung,VA_Other,VA_didnotuseVA,QID1_6_TEXT,vamost,devicemost,partweek,ndays,times_per_day,whenuse,when_morning,when_lunch,when_afternoon,when_evening,when_night,check_n_turns,last_service_when,recall_last,last_service_which,last_service_howlong,socpres1,socpres2,socpres3,socpres4,socpres5,socpres6,socpres7,socpres8,socpres9,socpres10,socpres11,socpres12,epsi1,epsi2,epsi3,epsi4,epsi5,epsi6,comp1,comp2,comp3,warm1,warm2,warm3,QID34,personalized1,personalized2,personalized3,privrisk1,privrisk2,privrisk3,privrisk4,privrisk5,sat1,sat2,sat3,gender,age,country,edu,QID45_6_TEXT,employ,marit,income1,income2
2020-05-05T10:12:52Z,233,1,2,0,1,0,0,0,0,0,NA,Amazon,Smart Speaker,Weekend,5,9,2,0,1,0,0,0,1,Today,9,play music,NA,4,5,4,5,1,4,4,5,4,4,4,5,4,5,4,4,2,3,1,1,3,1,1,3,3,7,9,8,9,8,10,9,9,1,2,4,2,50,1,2,NA,1,2,5,NA
2020-05-05T10:16:37Z,152,1,34,0,0,1,1,0,0,0,NA,Apple,Other,All days,7,9,3,0,0,1,0,0,1,3 days ago,10,check weather/news,98,2,3,4,1,2,3,3,4,3,3,4,4,3,1,1,1,3,3,5,4,4,4,2,3,3,9,9,9,9,9,9,8,8,3,4,4,2,50,1,3,NA,6,2,4,NA
2020-05-06T07:43:48Z,240,1,13,1,0,1,0,0,0,0,NA,Apple,Smartphone,All days,7,2,12345,1,1,1,1,1,1,> 7 days ago,2,add items to a shopping list,15,3,2,2,3,2,2,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,3,4,4,3,8,8,8,9,9,9,7,7,4,4,4,2,50,1,4,NA,1,2,5,NA
2020-05-06T08:00:20Z,143,1,12,1,1,0,0,0,0,0,NA,Google,Smart Speaker,Weekend,2,5,23,0,1,1,0,0,1,4 days ago,9,play music,5,3,3,4,3,3,2,3,4,2,3,2,2,3,2,3,4,3,3,4,3,4,3,4,4,3,8,7,8,7,8,10,8,7,4,3,4,1,30,1,4,NA,1,1,2,NA
2020-05-06T08:00:27Z,162,1,2,0,1,0,0,0,0,0,NA,Amazon,Other,Weekend,5,15,1,1,0,0,0,0,1,2 days ago,2,set timer,15,2,3,2,3,3,4,2,3,5,3,4,2,3,4,3,2,5,4,2,3,2,2,2,1,3,6,7,8,8,6,7,8,9,3,2,5,1,28,1,5,NA,1,2,5,NA
2020-05-06T08:00:30Z,143,1,2,0,1,0,0,0,0,0,NA,Amazon,Smartphone,Weekdays,2,4,1,1,0,0,0,0,1,Yesterday,3,check weather/news,45,4,4,5,4,3,5,4,4,4,5,5,5,5,4,4,5,5,5,5,1,3,2,4,4,3,8,9,9,9,10,9,9,10,5,4,3,1,25,1,3,NA,1,2,3,NA
2020-05-06T08:00:34Z,194,1,1,1,0,0,0,0,0,0,NA,Google,Smartphone,All days,3,3,3,0,0,1,0,0,1,2 days ago,3,play music,1,4,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,8,8,8,7,7,7,7,7,4,4,4,1,33,1,3,NA,1,2,3,NA
2020-05-06T08:00:46Z,177,1,2,0,1,0,0,0,0,0,NA,Amazon,Smartphone,Weekend,4,3,5,0,0,0,0,1,1,> 7 days ago,5,other,2,4,4,2,2,2,3,4,2,4,1,4,4,4,4,4,3,5,5,4,4,2,4,5,3,3,7,6,9,7,7,8,6,8,4,5,4,1,52,1,3,NA,1,1,2,NA
2020-05-06T08:00:51Z,170,1,1,1,0,0,0,0,0,0,NA,Google,Smart Speaker,Weekdays,3,5,24,0,1,0,1,0,1,3 days ago,3,buy/order something,14,2,5,4,4,3,2,4,5,1,4,2,5,5,2,4,4,5,2,5,4,3,4,4,5,3,8,9,7,9,7,10,9,10,4,2,4,1,32,1,3,NA,1,2,3,NA
2020-05-06T08:00:52Z,190,1,1,1,0,0,0,0,0,0,NA,Google,Smart Speaker,All days,7,10,12345,1,1,1,1,1,1,Yesterday,5,check weather/news,2,3,1,1,2,2,1,1,2,3,1,1,3,3,3,3,3,3,5,4,4,4,3,3,3,3,7,7,7,7,7,7,7,6,4,4,4,2,43,1,3,NA,1,1,3,NA
2020-05-06T08:01:07Z,182,1,123,1,1,1,0,0,0,0,NA,Google,Smart Speaker,All days,5,2,35,0,0,1,0,1,1,4 days ago,2,check weather/news,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,6,6,7,9,9,9,9,9,2,3,2,1,27,1,3,NA,1,3,1,NA
